word,word type,word list,school code,total features,total features 2,subject list,average,average2
able,adjective,wl2,1,324,320,59,5.491525424,5.423728814
abnormal,adjective,wl1,1,284,285,58,4.896551724,4.913793103
above,other,wl2,1,399,395,59,6.762711864,6.694915254
absurd,adjective,wl1,1,211,215,58,3.637931034,3.706896552
accumulative,adjective,wl3,1,256,255,50,5.12,5.1
accurate,adjective,wl2,1,281,281,59,4.762711864,4.762711864
achieve,verb,wl10,1,373,370,98,3.806122449,3.775510204
acid,noun,wl3,1,307,306,50,6.14,6.12
acoustic,adjective,wl5,1,582,577,112,5.196428571,5.151785714
acute,adjective,wl6,1,343,339,68,5.044117647,4.985294118
addicting,verb,wl3,1,318,310,50,6.36,6.2
adolescence,noun,wl6,1,333,336,68,4.897058824,4.941176471
adorable,adjective,wl1,1,221,223,58,3.810344828,3.844827586
adults,noun,wl2,1,374,382,59,6.338983051,6.474576271
adventurous,adjective,wl2,1,343,345,59,5.813559322,5.847457627
affirm,verb,wl4,1,275,277,59,4.661016949,4.694915254
after,other,wl1,1,229,229,58,3.948275862,3.948275862
ageless,adjective,wl5,1,694,701,112,6.196428571,6.258928571
ahead,other,wl1,1,270,273,58,4.655172414,4.706896552
ahoy,noun,wl1,1,237,234,58,4.086206897,4.034482759
airplane,noun,wl6,1,951,960,68,13.98529412,14.11764706
alert,adjective,wl2,1,354,352,59,6,5.966101695
alike,adjective,wl2,1,294,294,59,4.983050847,4.983050847
alive,adjective,wl5,1,288,287,112,2.571428571,2.5625
alkaline,adjective,wl2,1,499,431,59,8.457627119,7.305084746
all,adjective,wl8,1,270,271,53,5.094339623,5.113207547
allow,verb,wl1,1,267,269,58,4.603448276,4.637931034
aluminum,noun,wl1,1,1075,281,58,18.53448276,4.844827586
always,other,wl10,1,244,237,98,2.489795918,2.418367347
am,verb,wl4,1,414,398,59,7.016949153,6.745762712
ambidextrous,adjective,wl3,1,410,384,50,8.2,7.68
amount,noun,wl10,1,493,463,98,5.030612245,4.724489796
amuse,verb,wl2,1,377,376,59,6.389830508,6.372881356
angry,adjective,wl9,1,1107,1118,177,6.254237288,6.316384181
annoy,verb,wl9,1,732,742,177,4.13559322,4.192090395
annually,other,wl9,1,312,313,177,1.762711864,1.768361582
anxiety,noun,wl1,1,844,492,58,14.55172414,8.482758621
apart,other,wl2,1,997,589,59,16.89830508,9.983050847
apology,noun,wl8,1,838,852,53,15.81132075,16.0754717
apple,noun,wl3,1,559,557,50,11.18,11.14
april,noun,wl6,1,578,575,68,8.5,8.455882353
army,noun,wl1,1,818,821,58,14.10344828,14.15517241
around,other,wl1 and 9,1,249,245,58,4.293103448,4.224137931
artist,noun,wl2,1,630,587,59,10.6779661,9.949152542
ashamed,adjective,wl10,1,311,316,98,3.173469388,3.224489796
asia,noun,wl1,1,630,637,58,10.86206897,10.98275862
ass,noun,wl5,1,436,438,112,3.892857143,3.910714286
assume,verb,wl4,1,973,904,59,16.49152542,15.3220339
asymmetrical,adjective,wl2,1,422,422,59,7.152542373,7.152542373
atom,noun,wl2,1,738,739,59,12.50847458,12.52542373
atomic,adjective,wl6,1,266,262,68,3.911764706,3.852941176
attack,noun,wl4,1,829,838,59,14.05084746,14.20338983
attic,noun,wl2,1,1036,1054,59,17.55932203,17.86440678
awake,adjective,wl5,1,812,816,112,7.25,7.285714286
award,noun,wl1,1,835,833,58,14.39655172,14.36206897
aware,adjective,wl2 and 8,1,208,212,59,3.525423729,3.593220339
away,other,wl2,1,296,293,59,5.016949153,4.966101695
awful,adjective,wl10,1,313,317,98,3.193877551,3.234693878
ax,noun,wl8,1,530,531,53,10,10.01886792
backpack,noun,wl1,1,766,466,58,13.20689655,8.034482759
backward,other,wl8,1,270,271,53,5.094339623,5.113207547
bake,verb,wl1,1,1120,986,58,19.31034483,17
baked,adjective,wl3,1,271,251,50,5.42,5.02
band,noun,wl4,1,469,452,59,7.949152542,7.661016949
bar,noun,wl4,1,1047,696,59,17.74576271,11.79661017
bargain,noun,wl4,1,1006,872,59,17.05084746,14.77966102
baseball,noun,wl2,1,2133,2127,59,36.15254237,36.05084746
bat,noun,wl9,1,846,522,177,4.779661017,2.949152542
bathroom,noun,wl3,1,1311,1313,50,26.22,26.26
battalion,noun,wl3,1,259,259,50,5.18,5.18
beard,noun,wl10,1,865,855,98,8.826530612,8.724489796
beat,verb,wl5,1,834,696,112,7.446428571,6.214285714
beautician,noun,wl2,1,612,604,59,10.37288136,10.23728814
beautiful,adjective,wl3,1,387,389,50,7.74,7.78
beef,noun,wl6,1,556,437,68,8.176470588,6.426470588
beer,noun,wl1,1,1126,465,58,19.4137931,8.017241379
before,other,wl9,1,298,296,177,1.683615819,1.672316384
below,other,wl9,1,557,268,177,3.146892655,1.514124294
belt,noun,wl2,1,1327,1306,59,22.49152542,22.13559322
better,adjective,wl6,1,564,509,68,8.294117647,7.485294118
beware,verb,wl2,1,399,348,59,6.762711864,5.898305085
bible,noun,wl5,1,6410,782,112,57.23214286,6.982142857
bicep,noun,wl2,1,722,607,59,12.23728814,10.28813559
billy,noun,wl8,1,429,307,53,8.094339623,5.79245283
biology,noun,wl2,1,375,376,59,6.355932203,6.372881356
bite,noun,wl5,1,325,324,112,2.901785714,2.892857143
bitterness,noun,wl2,1,619,623,59,10.49152542,10.55932203
bleach,noun,wl3,1,319,320,50,6.38,6.4
blends,noun,wl1,1,279,279,58,4.810344828,4.810344828
body,noun,wl2,1,948,922,59,16.06779661,15.62711864
bone,noun,wl5,1,980,649,112,8.75,5.794642857
bonehead,noun,wl4,1,623,637,59,10.55932203,10.79661017
booze,noun,wl3,1,661,663,50,13.22,13.26
bore,verb,wl2,1,281,287,59,4.762711864,4.86440678
boss,noun,wl10,1,2387,492,98,24.35714286,5.020408163
bow,noun,wl3,1,1093,1082,50,21.86,21.64
boyfriend,noun,wl2,1,1234,1243,59,20.91525424,21.06779661
brain,noun,wl10,1,1275,1267,98,13.01020408,12.92857143
breakfast,noun,wl9,1,1213,1216,177,6.853107345,6.870056497
