TargetWord,Prime,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP NT RT,ELP NT Z,ELP NT Acc,Relation1,Relation2,FAS,BAS,CueFanOut,LSA,NT 200ms RT,NT 200ms Z,NT 200ms Acc,NT 1200ms RT,NT 1200ms Z,NT 1200ms Acc,NT 200ms RT Priming,NT 200ms Z Priming,NT 200ms Acc Priming,NT 1200ms RT Priming,NT 1200ms Z Priming,NT 1200ms Acc Priming
alcohol,DRUNK,5,76.55,3.59,8.89,3,1,3202,800.5,JJ,595.79,-0.64,1,unclassified,,0.126,0.11,19,0.81,524.25,-0.382913415503024,1,477.47619047619,-0.319636129154532,1,38.75,0.557414907878196,0,-3.02164502164504,0.288336143663159,0
alert,AWARENESS,9,2.25,2.06,8.96,0,,20548,2568.5,NN,589.38,-0.57,1,synonym,,0.223,0,17,0.24,507.230769230769,-0.25655315967628,1,513.75,-0.213756238097015,0.96875,-19.2807692307692,0.00513925452749814,0,2.81521739130437,0.0781946646973592,-0.03125
alive,DEAD,4,448.98,4.36,11.2,10,3,5467,1822.33,JJ|NN|RB,603.44,-0.41,1,antonym,,0.398,0.554,18,0.52,474.44,-0.496137528126246,1,584.45,-0.367163280896202,1,63.16,0.476910572873523,0,-117.45,0.0373165641655588,0.0294117647058824
all,MOST,4,350.76,4.25,13.11,10,0,5374,1791.33,RB|JJ,563.54,-0.7,1,unclassified,,0.295,0.02,12,0.69,495.605263157895,-0.316818084562373,1,567.205882352941,-0.271500577776982,0.941176470588235,-17.4234449760766,-0.14307595026929,0.0909090909090909,-68.9366515837104,-0.108857649645975,-0.0588235294117647
alligator,CROCODILE,9,2.25,2.06,6.26,0,,13321,1665.13,NN,662.11,-0.32,1,category,,0.629,0.46,14,0.48,560.407407407407,0.190476643138789,1,549.84,-0.000925001961992554,0.96,38.0925925925926,-0.32697676953296,0,-5.79000000000008,-0.119759082267698,-0.04
allow,DISALLOW,8,0.02,0.3,6.49,0,,12208,1744,VB,831.9,0.26,0.77,antonym,,0.089,0.011,14,,510.538461538462,-0.0777755884679601,1,472.1,-0.562123072915878,1,32.0404858299595,0.0613835253268026,0,22.2703703703704,0.232116721771731,0
alone,LONELY,6,41.67,3.33,8.49,1,1,11628,2325.6,JJ|RB,569.19,-0.72,1,synonym,,0.219,0.215,17,0.6,550.684210526316,0.0873206541251762,1,480.65,-0.492802171334824,1,-32.3157894736843,-0.451525781987158,0,-2.34696969696967,0.144067266359079,0
alright,OKAY,4,2006.27,5.01,10.43,0,,766,255.33,JJ|minor|NN|VB,558.04,-0.78,1,synonym,,0.262,,13,0.07,540.073170731707,-0.184767136342483,0.975609756097561,486.894736842105,-0.0889740853670927,1,1.81254355400688,0.0917889941805517,0.0327526132404181,54.5552631578948,0.218355846640964,0
aluminum,FOIL,4,1.22,1.8,8.6,9,3,2372,790.67,NN|VB,609.57,-0.51,1,bpa,,0.314,0.164,12,0.55,526.3,-0.337109265015126,1,606.4,0.716711497159562,0.95,109.170588235294,0.880991341794235,0.117647058823529,2.05000000000007,-0.248321617209356,0
always,FOREVER,7,88.8,3.66,9.94,0,,16429,2738.17,RB|NN,633.11,-0.5,1,synonym,,0.27,0.378,14,0.48,533.577777777778,-0.208989929545929,1,487.285714285714,-0.510740101809215,1,1.85079365079366,0.203248128900426,0,15.8994708994709,0.402161923227991,0
am,BE,2,5746.76,5.47,14.95,5,0,858,858,VB,626.84,-0.57,1,unclassifed,,0.099,,29,0.3,585.214285714286,0.18191309362838,0.952380952380952,552.111111111111,0.137103807448136,1,-41.2698412698412,-0.208471628091992,-0.0476190476190477,39.1146953405018,0.432899056937272,0.0967741935483871
ambulance,EMERGENCY,9,54.43,3.44,9.5,1,0,15821,1977.63,NN,647.75,-0.52,1,script,,0.13,0.174,23,0.76,569.764705882353,0.152741388952355,1,477.884615384615,-0.106705064950393,1,80.4416433239962,0.520232362818709,0.0476190476190477,98.0042735042736,0.411819964409689,0.0370370370370371
america,USA,3,,,,,,,,,,,,synonym,,0.223,0.185,11,0.2,546.642857142857,0.131924304440973,0.964285714285714,586.15,0.0621817616559281,1,-15.1600985221675,-0.181500750541052,-0.0357142857142857,20.375,0.219576569777982,0
american,FLAG,4,17.49,2.95,9.64,9,1,3276,1092,NN|VB,611.15,-0.58,1,bpa,,0.269,0.2,12,0.3,612.071428571429,0.128840682214818,1,551.382352941176,0.0412598598673628,1,-5.34415584415581,0.170893822850423,0.0454545454545454,37.072192513369,0.605898978507706,0.0454545454545454
amount,QUANTITY,8,1.86,1.98,9.24,1,0,15136,2162.29,NN,729.68,-0.01,0.93,synonym,,0.379,0.067,11,0.36,506.5,0.0349942819442424,1,515.833333333333,-0.244176209518683,1,68.8076923076923,0.0535481376842525,0.0384615384615384,7.78571428571422,0.241718507741606,0
amuse,ENTERTAIN,9,6.14,2.5,7.84,0,,28085,3510.63,VB,704.11,-0.11,1,synonym,,0.275,0.15,20,0.52,625.318181818182,0.498947781284847,0.954545454545455,508.785714285714,-0.0180928694883565,1,-33.633971291866,0.251291071042984,-0.0454545454545454,92.6942857142857,0.490357767702861,0
angel,SAINT,5,17.92,2.96,8.75,4,1,11568,2892,NN,607.81,-0.51,1,unclassified,,0.091,0.041,24,0.28,568.777777777778,0.0401131002971127,0.925925925925926,506.484848484849,-0.384191774527607,1,-48.8402777777778,-0.228539000559836,-0.0740740740740741,-21.3181818181818,0.269353262008042,0.0333333333333333
anger,FURY,4,3.82,2.29,8.26,4,1,2397,799,NN,673.84,-0.16,0.93,synonym,,0.306,0,12,0.34,511.787878787879,-0.316558643172305,0.96969696969697,487.653846153846,-0.237433443876426,0.961538461538462,21.6736596736596,0.163848345661213,-0.0303030303030303,297.70979020979,1.13309749387976,-0.0384615384615384
angry,MAD,3,113.41,3.76,9.79,17,7,2731,1365.5,JJ|NN,563.86,-0.69,1,synonym,,0.393,0.52,11,0.34,482.684210526316,-0.636570382984515,1,501.457142857143,-0.324218603085343,1,26.3470394736842,0.255613997253816,0,35.4,0.158972624436461,0.0714285714285714
animal,BEAST,5,24.55,3.1,9.7,6,2,7690,1922.5,NN,624.33,-0.45,1,unclassifed,,0.4,0.011,15,0.35,508.214285714286,-0.278104377681077,1,498.096774193548,-0.275401257133643,1,102.160714285714,0.421580645575026,0,22.1446051167965,0.184493862697115,0.0344827586206896
ankle,SPRAIN,6,0.84,1.64,5,1,1,13097,2619.4,NN|VB,717.85,0.01,1,fpa,,0.601,0.049,8,0.62,529.642857142857,-0.352556224899509,1,496.181818181818,-0.1765219367824,1,-24.0502645502645,0.0897677127217757,0,-31.3484848484849,-0.269037252473113,0
annoy,FRUSTRATE,9,0.27,1.18,5.55,0,,19449,2431.13,VB,655.19,-0.41,0.96,category,,0.149,0,15,0.08,578,0.133732160217989,1,517.214285714286,0.0972243400840623,1,-52.25,-0.0998360507965711,0,70.4172932330828,-0.0196289206793669,0
annoying,IRRITATING,10,2.18,2.05,7.72,1,0,28102,3122.44,JJ|VB,649.28,-0.23,1,synonym,,0.257,0.086,16,0.16,507.551724137931,-0.377656724179475,1,526.137254901961,-0.114920346884713,1,56.3713527851459,0.30438908397448,0,34.5849673202614,0.328625781614918,0
annually,YEARLY,6,0.88,1.66,7.95,3,1,6789,1357.8,JJ|RB,647.41,-0.37,1,synonym,,0.485,,11,0.38,617.545454545455,0.432992364828258,1,535,-0.00291529440382747,1,7.54545454545462,0.0186281739421071,0.0454545454545454,-4.35294117647061,0.19825780598507,0
answer,EXPLANATION,11,20.06,3.01,10.05,0,,24560,2456,NN,655.13,-0.25,0.96,synonym,,0.15,0,21,0.21,552.28,0.0467556559852203,1,505.714285714286,-0.230666806252097,1,-49.38,-0.160120176039479,0,-6.60902255639098,-0.115978066554866,0
ant,ANTEATER,8,0.22,1.08,4.26,0,,27449,3921.29,NN,922.14,0.67,0.92,functional property,,0.29,0.017,9,0.14,541.848484848485,-0.00115748663423884,0.96969696969697,528.4,-0.0358210365028718,1,-5.18181818181824,0.0875537764981736,-0.0303030303030303,-41.9185185185185,-0.236289500929833,0.0370370370370371
anxiety,STRESS,6,15.61,2.9,9.41,0,,15855,3171,NN|VB,688.25,-0.07,1,synonym,,0.079,0.077,23,0.57,499.6,-0.408636610276315,1,562.409090909091,0.376479963864937,1,120.169230769231,1.35032680260345,0,-18.9924242424242,-0.574635713373016,0
apart,TOGETHER,8,383.39,4.29,11.41,0,,13671,1953,RB|NN,629.89,-0.45,1,antonym,,0.259,0.406,19,0.57,566.666666666667,-0.173549249557611,1,520.315789473684,-0.0238442810107056,0.894736842105263,27.1851851851852,0.578026151647834,0,-27.4125636672326,-0.11805456736047,-0.105263157894737
apartment,RENT,4,34.55,3.25,9.28,15,3,11376,3792,NN|VB,630.07,-0.5,1,script,,0.155,0.042,15,0.34,575.176470588235,0.0833807221216027,0.970588235294118,537.5,0.0575211312022553,1,-4.02941176470586,0.053513527902906,-0.0294117647058824,49.8333333333334,0.596296217961706,0
ape,MONKEY,6,33.51,3.23,8.49,1,0,6990,1398,NN|VB,549.5,-0.78,1,category,,0.174,0.459,22,0.39,495.705882352941,-0.37139561534146,1,480.678571428571,-0.433226923946991,1,151.255656108597,0.348461871708598,0,11.3214285714286,0.0921634698735576,0
apology,SORRY,5,1167.96,4.78,11.44,1,0,4748,1187,JJ|NN,608.5,-0.48,1,synonym,,0.212,0.578,17,0.29,522.842105263158,0.00747440283334775,0.973684210526316,548.321428571429,0.291674647873904,1,-0.226720647773277,-0.138068661840321,-0.0263157894736842,-3.57142857142856,-0.070662063211032,0
appear,SEEM,4,139.82,3.85,11.71,10,1,3912,1304,VB,702.32,-0.11,1,synonym,,0.244,0.083,15,0.58,534.925925925926,0.058848324399644,1,524.115384615385,-0.145520127197381,1,49.8805256869772,0.348124071113222,0,-31.5769230769231,0.0062233433395395,0
apple,PIE,3,28.75,3.17,8.5,10,6,2074,1037,NN,590.41,-0.6,1,bpa,,0.228,0.074,21,0.47,529.789473684211,0.00234852503655267,1,497.463414634146,-0.341503467649641,1,-17.3803827751196,-0.279480985337217,0.0454545454545454,-33.0543237250554,-0.119119672065593,0
april,MARCH,5,24.02,3.09,11.22,3,0,6594,1648.5,NN|VB,574.52,-0.75,1,category,,0.223,,15,0.76,577.619047619048,0.0789061641278905,1,511.96,-0.25949194915822,1,28.6666666666667,0.250015486599244,0,25.1938461538462,0.253230635955965,0
area,REGION,6,5.02,2.41,10.21,1,0,12668,2533.6,NN,671.83,-0.46,0.96,synonym,,0.512,0,10,0.62,496.5,-0.438296466115307,1,543.814814814815,0.0110543854943699,1,62.46,0.60053111953093,0,-0.183235867446342,-0.265752136053325,0.0526315789473685
argue,DEBATE,6,9.29,2.68,10.2,2,0,12193,2438.6,NN|VB,638.31,-0.47,1,synonym,,0.473,0.034,9,0.46,517.423076923077,-0.43121127752984,1,537.074074074074,0.324634649053244,1,14.2435897435897,0.110969862568023,0,-32.6322136089577,-0.546453491927873,0
argument,DISAGREEMENT,12,1.53,1.9,8.04,0,,21902,1991.09,NN,750.67,-0.14,1,synonym,,0.444,0.034,8,0.39,539.659090909091,0.152989474882032,1,545.137931034483,-0.00562352983586695,1,-16.8733766233765,-0.420594972514393,0,-72.1763925729443,-0.135688934735658,0
arm,SHOULDER,8,26.2,3.13,9.34,1,0,14291,2041.57,NN|VB,660.46,-0.27,1,category,,0.335,0,21,0.7,469.035714285714,-0.355353177477895,0.964285714285714,551.5,-0.017632175022766,1,21.8466386554622,-0.00206221928572414,-0.0357142857142857,47.85,-0.165842367317615,0
armor,KNIGHT,6,26.76,3.14,9.81,0,,3252,650.4,NN|VB,592.96,-0.53,1,script,,0.517,0.293,11,0.6,527.457142857143,-0.149970215738806,0.971428571428571,523.384615384615,-0.223189326317425,1,46.2928571428571,0.173918322462919,-0.0285714285714286,29.0653846153847,0.654154663859501,0
arms,OCTOPUS,7,1.94,2,6.8,0,,5769,961.5,NN,659.33,-0.45,1,perceptual property,,0.153,0,11,0.31,536.590909090909,-0.130118906551499,1,496.444444444444,-0.114619594471948,1,-76.8290043290044,-0.516502409378487,0,-4.30158730158729,-0.102529348944584,0
army,CORPORAL,8,15.73,2.9,6.66,0,,15498,2214,NN,719.29,-0.02,0.97,script,,0.27,0,16,0.31,543.142857142857,-0.310542520200304,1,496.65,-0.0464108679422259,1,-43.8,-0.021257901639348,0,3.53181818181821,-0.196630007555474,0
around,SURROUNDING,11,3.76,2.29,8.94,0,,22919,2291.9,VB|NN,735.78,-0.05,1,synonym,,0.16,0.042,17,0.3,525.428571428571,-0.169129154625686,1,556,-0.066346248327584,1,2.18907563025209,-0.136185773571243,0,-61.8,-0.203587786392162,0
arrogant,COCKY,5,4.12,2.32,6.88,2,1,4157,1039.25,JJ,624.78,-0.39,0.96,synonym,,0.141,0.078,22,0.11,631.047619047619,0.0717040092937987,0.952380952380952,533.025641025641,0.0135112141515884,0.974358974358974,-41.4761904761905,0.67498747168516,0.0238095238095237,58.2051282051283,0.0895395835795388,-0.0256410256410257
arrow,BOW,3,20.27,3.01,8.92,18,8,1450,725,NN,631.58,-0.49,0.92,instrument,,0.4,0.53,12,0.56,500.892857142857,-0.0919389018348769,0.964285714285714,496.870967741935,-0.206576614076516,0.967741935483871,85.0595238095238,0.580095573429906,-0.0357142857142857,47.6462736373749,0.19147748969292,-0.032258064516129
art,SCULPTURE,9,3.12,2.2,6.88,0,,9650,1206.25,NN|VB,730.35,0.04,0.96,supraordinate,,0.31,0,20,0.85,493.461538461538,-0.586835715752754,1,465.761904761905,-0.508105839193522,1,-4.74153846153843,0.184634395244398,0,14.3809523809524,0.0820527399543525,0
artist,CON,3,12.63,2.81,10.68,16,2,7079,3539.5,NN|VB,619.37,-0.56,1,fpa,,0.25,0,15,0.22,537.4,-0.000718568987112881,0.971428571428571,422.428571428571,-1.00479474717127,1,-13.2888888888889,-0.390640850870909,-0.0285714285714286,120.480519480519,1.0737630647853,0
ashtray,ASH,3,9.2,2.67,8.19,4,3,2747,1373.5,NN,601.64,-0.54,1,instrument,,0.255,0.11,12,0.13,559.083333333333,0.281041438269006,1,602.666666666667,0.312208042633067,0.96969696969697,26.0666666666666,0.102564906828494,0.05,-37.3055555555555,0.0154491120025553,0.0252525252525253
asia,EUROPE,6,26.82,3.14,10.63,0,,6060,1212,NN,600.04,-0.5,1,category,,0.108,0.026,24,0.56,588.689655172414,0.181986522326659,1,565.5,-0.000339186409223344,1,-23.7610837438424,-0.231748451354975,0,-31.9736842105264,0.170402022028565,0
ask,INQUIRE,7,1.69,1.94,8.05,1,1,13282,2213.67,VB,734.86,-0.1,1,synonym,,0.48,0.061,13,0.5,618.875,0.125355144008931,1,450.735294117647,-0.575842675893509,1,-160.662878787879,-0.703039932508553,0,48.3998410174881,0.13519003799948,0
asleep,UNCONSCIOUS,11,11.43,2.77,7.9,0,,19701,1970.1,JJ|NN,693.93,-0.08,1,synonym,,0.15,0.014,16,0.14,568.65,0.154479316623693,0.9,485.243243243243,-0.300414993461101,1,-58.8285714285714,-0.512871431753919,-0.1,-12.0893970893971,-0.237711309519974,0
ass,DONKEY,6,5.35,2.44,7.87,1,1,6614,1322.8,NN,609.93,-0.55,1,synonym,,0.534,0.27,10,0.18,527.3,-0.171076995325574,1,470.928571428571,-0.381157166042073,1,23.9916666666667,0.17954644145324,0,147.904761904762,0.735563545058722,0
assistant,HELPER,6,2.02,2.02,7.62,1,1,11391,2278.2,NN,547.75,-0.72,1,synonym,,0.229,0.4,17,0.17,524.615384615385,0.0705981612633077,1,603.078947368421,0.293736698829875,1,117.467948717949,0.487840734373205,0,41.7445820433437,0.0748888747839455,0.0588235294117647
assume,PRESUME,7,8.14,2.62,8.63,0,,13606,2267.67,VB,650.38,-0.3,1,synonym,,0.368,0.039,9,0.13,524.4,-0.283154900938331,1,498,-0.0449970494736208,0.952380952380952,28.5574468085107,0.290618267707658,0.0425531914893617,30.2564102564103,0.0689084584235014,-0.0476190476190477
atom,NEUTRON,7,1.24,1.81,7.72,0,,11803,1967.17,NN,756.7,0,1,supraordinate,,0.233,0.013,11,0.56,559.423076923077,0.128857420646032,1,540.210526315789,-0.0329017506768128,1,-1.32307692307688,-0.0976665448991804,0,76.7894736842105,0.748488552652626,0.0952380952380952
attack,ASSAULT,7,17.57,2.95,9.26,0,,5633,938.83,NN|VB,634.78,-0.45,1,synonym,,0.169,0.027,18,0.47,573.086956521739,0.0154120559250827,1,550.916666666667,-0.0875727323542465,1,-57.6980676328502,-0.112838687826982,0,-4.55952380952374,-0.0518107871272856,0
attempt,TRY,3,476.75,4.39,12.52,7,0,2322,1161,VB|NN,582.15,-0.67,1,synonym,,0.13,0.749,16,0.37,541.380952380952,-0.153638967591856,1,481.423076923077,-0.321665089358095,1,52.3065476190476,0.387495132549903,0,-2.42307692307691,0.237012406592137,0
attic,BASEMENT,8,21.06,3.03,8.45,2,0,13846,1978,NN,592.21,-0.64,1,antonym,category,0.143,0.205,19,0.55,521.75,-0.337549606738678,1,478.958333333333,-0.224441426474414,0.958333333333333,41.0214285714286,0.616732569590319,0.142857142857143,97.0816666666666,0.432248158400863,-0.0416666666666666
aunt,RELATIVE,8,7.78,2.6,9.81,0,,20027,2861,JJ|NN,660.81,-0.34,1,supraordinate,,0.169,0.087,16,0.08,528.954545454546,-0.0374676655857564,0.954545454545455,538.4,0.204904569767561,0.933333333333333,44.8787878787879,0.175392897739056,-0.0176767676767676,7.6952380952381,0.0563439295574354,-0.019047619047619
australia,KANGAROO,8,2.31,2.08,6.71,0,,14164,2023.43,NN,674.77,-0.18,1,script,,0.175,,11,0.43,588.90625,0.265247348377843,1,540.473684210526,-0.0348832713129806,1,-29.2991071428571,0.198286897401136,0,51.7368421052631,0.310670593503455,0
auto,CAR,3,483.06,4.39,11.37,15,3,4768,2384,NN,633.59,-0.5,1,synonym,,0.133,0.784,25,0.6,478.589743589744,-0.531656843529304,1,555.615384615385,0.131494272360964,1,85.6502564102564,0.630150344209235,0,37.1894934333958,-0.0249744595151958,0
average,NORM,4,3.33,2.23,8.77,3,1,4136,1378.67,NN,618.36,-0.51,1,synonym,,0.173,0.02,26,0.29,541.4,-0.0156930687819096,1,526.026315789474,-0.13653157741602,1,-50.1142857142857,-0.293088223167205,0,91.3070175438597,0.363063668092688,0
awake,ASLEEP,6,49.82,3.41,8.6,0,,6842,1368.4,RB|JJ,636.19,-0.39,1,antonym,,0.371,0.618,15,0.9,530.6,-0.204711933717319,0.966666666666667,509.28,-0.280608073377219,1,-20.8380952380953,0.0165220271056614,-0.0333333333333333,25.3866666666667,0.120173117577751,0
award,MERIT,5,3.39,2.24,8.62,0,,12954,3238.5,NN|VB,610.33,-0.5,1,synonym,,0.176,0.014,15,0.09,542.4,-0.0479197413934092,1,493.95652173913,-0.205838519617367,1,-9.28888888888889,0.0064790989569448,0.0370370370370371,38.7101449275362,0.168595005228246,0
