word_1,word_2,distance
abandon,disown,0.6196
ability,capability,0.606663
abnormal,normal,0.473661
above,below,0.337824
abuse,use,0.79224
accept,reject,0.376721
account,checking,0.730179
accuse,blame,0.486718
ache,stomach,0.54828
achieve,goal,0.570644
act,perform,0.612506
action,reaction,0.68846
active,hyper,0.833399
actor,actress,0.275584
actress,actor,0.275584
add,sum,0.797365
addition,subtraction,0.802502
adjective,adverb,0.398947
adolescent,puberty,0.584656
adventure,explorer,0.743116
advice,suggest,0.774004
africa,continent,0.479027
after,before,0.285152
again,repeat,0.608908
against,for,0.699879
age,years,0.514945
agreement,contract,0.432756
air,fan,0.789949
airplane,flying,0.461211
alcohol,drunk,0.496009
alert,awareness,0.759982
alive,dead,0.276063
all,most,0.631703
alligator,crocodile,0.526506
allow,disallow,0.810273
alone,lonely,0.407888
alright,okay,0.416165
aluminum,foil,0.656861
always,forever,0.487377
am,be,0.423686
ambulance,emergency,0.460134
america,usa,0.478787
american,flag,0.723269
amount,quantity,0.477245
amuse,entertain,0.434152
angel,saint,0.768958
anger,fury,0.484239
angry,mad,0.357318
animal,beast,0.54554
ankle,sprain,0.363688
annoy,frustrate,0.623513
annoying,irritating,0.315339
annually,yearly,0.453437
answer,explanation,0.623957
ant,anteater,0.636113
anxiety,stress,0.410948
apart,together,0.513025
apartment,rent,0.512752
ape,monkey,0.488629
apology,sorry,0.570195
appear,seem,0.483411
apple,pie,0.497286
april,march,0.310202
area,region,0.601084
argue,debate,0.652473
argument,disagreement,0.634844
arm,shoulder,0.399602
armor,knight,0.564696
arms,octopus,0.774005
army,corporal,0.564892
around,surrounding,0.801197
arrogant,cocky,0.472166
arrow,bow,0.454998
art,sculpture,0.459203
artist,con,0.710437
ashtray,ash,0.608474
asia,europe,0.465882
ask,inquire,0.740632
asleep,unconscious,0.566957
ass,donkey,0.662497
assistant,helper,0.727975
assume,presume,0.548017
atom,neutron,0.609606
attack,assault,0.575576
attempt,try,0.525335
attic,basement,0.439048
aunt,relative,0.723619
australia,kangaroo,0.589342
auto,car,0.649689
average,norm,0.760578
awake,asleep,0.355766
award,merit,0.640499
aware,unaware,0.442551
away,further,0.774024
ax,hatchet,0.751614
baby,child,0.377431
back,retreat,0.6858
backpack,knapsack,0.580555
backward,forward,0.47426
bacon,eggs,0.562656
bad,villain,0.745052
bag,sack,0.492898
bake,broil,0.733216
ball,bowling,0.527317
ballet,tutu,0.808836
balloon,helium,0.583816
band,rubber,0.713183
bank,teller,0.649969
bar,saloon,0.628679
bargain,sale,0.629111
base,foundation,0.848913
baseball,catcher,0.64846
basic,instinct,0.761101
basket,wicker,0.576372
basketball,dunk,0.631036
bass,treble,0.55024
bat,ball,0.624451
bath,robe,0.645291
bathroom,toilet,0.330594
beach,coast,0.530619
beam,laser,0.454738
bean,kidney,0.741313
bear,cub,0.631496
beard,mustache,0.394145
beast,beauty,0.599062
beat,rhythm,0.594711
beautiful,gorgeous,0.250999
bed,loft,0.730214
bedroom,room,0.445907
bee,hive,0.496923
beef,roast,0.495422
beer,mug,0.612869
before,after,0.285152
beg,plead,0.560216
begin,originate,0.992178
beginner,novice,0.412003
beginning,ending,0.467328
behind,ahead,0.522615
being,human,0.646751
belief,superstition,0.519591
believe,disbelieve,0.542406
bell,chime,0.61802
below,above,0.337824
belt,sash,0.736864
bend,flexible,0.860686
best,favorite,0.518725
better,worse,0.295223
bible,proverb,0.676046
bicycle,tricycle,0.517513
big,huge,0.325945
bike,pedal,0.53692
billy,idol,0.715791
biology,science,0.497847
bird,wings,0.509587
bit,drill,0.801511
bitch,snob,0.727858
bite,bit,0.676984
black,white,0.224064
blame,scapegoat,0.545901
blanket,quilt,0.638443
bleach,clorox,0.673227
blonde,brunette,0.328015
blood,cut,0.775198
blow,whistle,0.58953
blue,sapphire,0.699607
blush,embarrass,0.68505
board,bulletin,0.560797
boat,hull,0.736849
body,physiology,0.762302
bomb,explosion,0.476291
bone,hip,0.592782
book,magazine,0.660656
boots,hiking,0.630088
booze,whiskey,0.556214
bored,busy,0.563234
boring,monotonous,0.56413
borrow,lend,0.329895
boss,secretary,0.664755
bother,nag,0.858929
bow,arrow,0.454998
box,carton,0.609687
boxer,fighter,0.494112
boy,girl,0.29917
boyfriend,girlfriend,0.102877
boys,hardy,0.782371
bra,underwear,0.475257
bracelet,charm,0.58891
brain,thinking,0.755631
branch,twig,0.611661
brave,daring,0.510926
bravery,valor,0.578873
bread,stale,0.661308
break,shatter,0.588915
breakfast,cereal,0.575285
breathe,air,0.507767
brick,block,0.662218
bride,groom,0.270976
britain,england,0.511222
broccoli,cauliflower,0.50995
broken,promise,0.674465
brother,sister,0.214136
