Input.word1,Answer.word1,Input.word2,Answer.word2,Input.word3,Answer.word3,Input.word4,Answer.word4,Input.word5,Answer.word5
Excise,"remove, cut out",Flying,"airplane, bird",Fraud,"illegal, dishonest, Enron",Reply,"respond, email, outlook, answer",Gull,"trick, seagull, animal"
Excise,"to the point, right",Flying,"in the air, like a bird",Fraud,"not true, a lie",Reply,"to answer back, responding in email",Gull,"a bird, by the sea"
Excise,a tax on goods,Flying,moving or passing quickly on or as if on wings,Fraud,an act or instance of such deception,Reply,to make answer,Gull,a person who is easily fooled or cheated
Excise,"action, verb, to cut, to remove, similar to exit",Flying,"action, verb, to soar, birds do it",Fraud,"noun, idea, cheat, take money, lie",Reply,"action, reciprocate an action, repeat/mimic another, respond",Gull,"bird, sea bird, large, white, dirty"
Excise,"extra, tax, business, government",Flying,"on the wing, moving, airline",Fraud,"fake, identity theft, criminal, forgery",Reply,"answer, respond, state",Gull,"bird, seashore, flock"
Excise,"to remove, to cut out",Flying,"efficent, aerodynamic, done by animals, done in a plane, fun, fast, way to travel",Fraud,"to lie, to misrepresent, to take advantage of, illegal, immoral",Reply,"to respond, to correspond",Gull,"are birds, fly, are web-footed, have long wings, are aquatic birds"
Excise,extra,Flying,going through the air unassisted,Fraud,trying to steal,Reply,answer to a question,Gull,something in the sea
Excise,"a kind of tax, to cut away with a sharp tool, something a surgeon would do to remove something,",Flying,"in the air, with wings, birds, to travel by airplane, going really fast, UFOs",Fraud,"to misrepresent, to con someone, to purposefully deceive in order to gain personal benefit, steal, thief, confidence artists do this",Reply,"retort, write back, respond to someone via writing or speech",Gull,"kind of bird, like a seagull, has long legs, skinny legs, feather, orange beak that hold fish"
Excise,unknown,Flying,"in an airplane, a bird does it, feeling on top of the world",Fraud,"to rip one off, pretend to be someone else, to steal",Reply,"answer,",Gull,unknown
Excise,"is a tax, alcohol and tobacco have excise taxes, to cut out, to cut off",Flying,"is done by birds, can be a form of transportation for humans in airplanes, is moving through the air, is done by helicopters and blimps, can be dangerous",Fraud,"is unfair, is dishonest, can result in punishment, is a crime, involves deception",Reply,"is a response, to give an answer, is done after a question is asked or a statement is made, is an echo",Gull,"is a bird, has webbed feet and long toes, often found on the beach, commonly found in the United States of America"
Form,"A paper to sign, to come together",Anteater,"a animal, eats ants",Cornbeef,"A food, a different kind of me al",Scalpel,"Doctors use, is shapr",Discomfort,"Feeling bad, not feeling right"
Form,a place to provide infoamtion or fill out information. The shape or of an object.,Anteater,"a 4 legged animal with a long nose that eats ants. Furry, course hair.",Cornbeef,cooked meat from a cow that is covered with salts and spices.,Scalpel,sharp metal medical instriment used for cutting the body,Discomfort,slight feeling or pain or need to move out of position or situation.
Form,box to fill out; the shape of an item; the way something is done that follows a particular order; paperwork that needs to be filled out to obtain something,Anteater,"an animal with a long nose, not seen in New England, mammal, usually seen in books and zoos",Cornbeef,"a piece of beef brisket which has soaked in brine and spices, used to make corned beer hash, traditionally served on St. Patricks Day, also called corned beef, flaky fatty meat",Scalpel,"knife, sharp blade, used for surgery, used for cutting in precise ways, used by doctors and other medical personnel",Discomfort,"pain, unease often caused by disease, overwork of muscles, digestive issues, not feeling right with the world, something that is irritating but not to the level of hurting, unfamiliarity with circumstances such as social situations"
Form,"arrangement, paperwork, fill in blanks",Anteater,"eats pests, long nose, lives in South America",Cornbeef,"entree, canned food, has protein",Scalpel,"surgical knife, sharp cutting object, used in operations, medical supply",Discomfort,"unease, slight pain, a bit tense"
Form,"a piece of paper, a shape, to make something",Anteater,"is an animal, has a long nose, eats ants",Cornbeef,"beef in a can, goes good with cabbage, ingredients of a reuben sandwich,",Scalpel,"used by surgeons, very sharp, found in an operating room",Discomfort,"uncomfortable feeling, painful, is annoying, is aggravating"
Form,a piece of paperwork where you fill in specific pieces of information,Anteater,"an animal whose main food source is eating bugs, they are also refered to as aardvark",Cornbeef,"beef that has been processed a specific way, is very fatty, and is most popular around St. Patrick's Day when eaten with cabbage",Scalpel,"a sharp thin pointy surgical tool, like a tiny knife that they use to slice your insides open with",Discomfort,a position in which one is not comfortable or at ease
Form,"it is a shape, it is turning material into a shape, it is paperwork that needs to be filled out",Anteater,"it is an animal, it has a long nose, it eats bugs",Cornbeef,"it is a meat, it is red, it is salty, it's popular in New York delis, it's a traditional Irish dish served with cabbage",Scalpel,"it is a cutting instrument, it is sharp, it is used in surgery",Discomfort,"it is a feeling of unease, it may be slightly painful, it is something unpleasant"
Form,"paper, needed to complete an action, boxes to complete",Anteater,"animal, eats ants, large snout like an elephant, furry, four-legs",Cornbeef,"meat, typical Irish food, eaten on St. Patrick's Day, salty, moist, eaten with cabbage generally",Scalpel,"knife, surgical, shiny, sharp",Discomfort,"pain, uncomfortable, indicates something is wrong"
Form,"construction, shape",Anteater,"anibal, ants, forest",Cornbeef,"meat, canned,",Scalpel,"doctor, surgery, blood, sharp, cuts",Discomfort,"uncomfortable,"
Form,"shape, arrangement, circle, square, triangle, pentagon",Anteater,"animal, big nose, arthur, eats ants, cute",Cornbeef,"irish food, weird texture, salty, from a cow",Scalpel,"knife, surgery, doctor, razor blade",Discomfort,"pain, ouch, not comfortable, irritation"
Contractor,"a person, a business, a builder, one that remodels,",Survive,"live, endure, continue to function, outlast, outlive, to beat the odds, win",Employment,"a job, to work,  get paid to work, number of people working somewhere",Screw,"an object, to turn, to take advantage of someone,",Saying,"words, a rhyme, speaking, words of wisdom, talking"
Contractor,"Is a worker, Uses Tools, Works for a boss, Someone you pay",Survive,To Stay Alive,Employment,"To Work, To Make Money, To Keep A Job, To Have A Job",Screw,"Use For Tools, Holds Stuff Together, Turns Into Holes",Saying,"To Speak, Words"
Contractor,"Carpenter
Hired person",Survive,"Struggle
Willpower",Employment,"Salary
Working",Screw,"To drill in
Construction work",Saying,"Powerful meaning
Choice words"
